Categorías;Barrios;2018;2019;2020;2021;2022
Desconocido y No consta;12. Usera;70;65;60;57;55
Desconocido y No consta;13. Puente de Vallecas;221;209;195;182;172
Desconocido y No consta;14. Moratalaz;103;98;88;80;77
Desconocido y No consta;15. Ciudad Lineal;322;305;289;265;248
Desconocido y No consta;16. Hortaleza;117;113;107;102;92
Desconocido y No consta;17. Villaverde;135;127;120;110;105
Desconocido y No consta;18. Villa de Vallecas;27;25;23;20;17
Desconocido y No consta;19. Vicálvaro;5;5;4;3;3
Desconocido y No consta;20. San Blas-Canillejas;127;122;118;114;109
Desconocido y No consta;21. Barajas;22;22;22;22;20
;;;;;;
;;;;;;
Fuente: Ayuntamiento de Madrid. Subdirección General de Estadística. Elaboración propia;;;;;;
